Condition,Category,Trait,Mean_Diff,P_Value,Cohens_d,CI_Low,CI_High,N
makeup,Agreeableness,tends to find fault with others,0.001059828,0.033162979,13.561836430219468,0.000951521,0.001168135,2
hair,Conscientiousness,Can be somewhat careless,9.927072096616051e-05,0.040991777,10.966488885917544,8.672502823173979e-05,0.000111816,2
makeup,Openness,Has an active imagination,0.000460256,0.041251253,10.89731648518453,0.000401721,0.000518792,2
hair,Extraversion,tends to be quiet,-0.000430854,0.041466209,-10.84066709,-0.000485937,-0.000375771,2
jewelry,Openness,"Is sophisticated in art, music, or literature",0.006582926,0.04150127,10.83148288477957,0.005740616,0.007425237,2
makeup,Agreeableness,ALL,0.000753267,0.066476232,0.46220529995525506,3.7299411760627083e-07,0.001506161,18
hair,Agreeableness,Likes to cooperate with others,0.001955849,0.06707133,6.686782225021714,0.001550472,0.002361227,2
makeup,Agreeableness,has a forgiving nature,0.001268482,0.069609249,6.441137570099892,0.000995545,0.001541419,2
jewelry,Extraversion,ALL,-0.002328007,0.073642891,-0.449349803,-0.004721431,6.541647842745043e-05,18
makeup,Neuroticism,Can be moody,0.004514087,0.076733579,5.838070657657562,0.003442465,0.005585709,2
jewelry,Extraversion,"is outgoing, sociable",-0.004487498,0.083926741,-5.332594407,-0.005653788,-0.003321207,2
jewelry,Conscientiousness,Tends to be disorganized,5.1686518418136984e-05,0.088068216,5.078823202244733,3.7582097575068475e-05,6.57909392612055e-05,2
jewelry,Neuroticism,Remains calm in tense situations,-0.005284796,0.089176805,-5.014868666,-0.006745323,-0.003824268,2
hair,Neuroticism,Can be moody,-0.005545187,0.10456498415304019,-4.266272463,-0.007346581,-0.003743793,2
makeup,Agreeableness,Is generally trusting,0.002340296,0.1116148604866089,3.991728959709931,0.001527745,0.003152848,2
jewelry,Agreeableness,Likes to cooperate with others,-0.001480143,0.11467494938542219,-3.882964931,-0.002008444,-0.000951842,2
makeup,Agreeableness,Can be cold and aloof,0.000737177,0.11746154418728699,3.7887995250422764,0.00046752,0.001006833,2
makeup,Conscientiousness,Perseveres until the task is finished,-0.000428782,0.12652717593400606,-3.510828913,-0.000598047,-0.000259517,2
hair,Neuroticism,"Is relaxed, handles stress well",0.007132271,0.13338053799284774,3.3254633569955643,0.004159806,0.010104736,2
jewelry,Openness,Is inventive,-0.000305456,0.1365841705474945,-3.245104824,-0.000435911,-0.000175001,2
makeup,Agreeableness,Likes to cooperate with others,-0.00202448,0.14899263526747872,-2.965979473,-0.00297047,-0.00107849,2
jewelry,Extraversion,is full of energy,0.001405276,0.1635094781881454,2.6922956014552395,0.000681874,0.002128679,2
hair,Openness,"Likes to reflect, play with ideas",0.000956017,0.16352723414750328,2.6919900051851884,0.000463827,0.001448208,2
hair,Neuroticism,Can be tense,-0.00375239,0.16496718299480811,-2.667421322,-0.005702044,-0.001802737,2
jewelry,Agreeableness,Is sometimes rude to others,0.002137477,0.1766677738686506,2.482301256522174,0.000944071,0.003330882,2
makeup,Agreeableness,is helpful and unselfish with others,0.000325005,0.19772817717660787,2.2029694372578117,0.000120538,0.000529472,2
jewelry,Conscientiousness,Tends to be lazy,-0.000217103,0.20583995620623197,-2.110186096,-0.000359691,-7.45E-05,2
jewelry,Openness,ALL,0.005078762,0.20892344808366922,0.30784528998051797,-0.002542821,0.012700344111801895,18
jewelry,Openness,Prefers work that is routine,0.031548023,0.20932550435333863,2.0724523518846185,0.010450636148452867,0.05264541,2
hair,Agreeableness,is helpful and unselfish with others,0.002026977,0.24331484021226188,1.759131028628232,0.000430026,0.003623928,2
jewelry,Conscientiousness,Does a thorough job,-0.000847587,0.25147506026896915,-1.695981435,-0.001540221,-0.000154952,2
makeup,Neuroticism,"Is depressed, blue",0.001618411,0.2552635694308888,1.667965757913024,0.000273657,0.002963165,2
makeup,Extraversion,generates a lot of enthusiasm,-0.006761786,0.2669561220222094,-1.586246427,-0.012669668,-0.000853904,2
makeup,Openness,"Likes to reflect, play with ideas",-0.004548517,0.2923855980749446,-1.429797961,-0.008957477,-0.000139556,2
jewelry,Neuroticism,"Is depressed, blue",-0.001270812,0.30599804778149037,-1.356037411,-0.002569638,2.8013214468954658e-05,2
jewelry,Extraversion,generates a lot of enthusiasm,-0.006709795,0.31304252703330837,-1.320196285,-0.013753674,0.000334083,2
hair,Openness,Prefers work that is routine,0.050667677074670764,0.3190016855524605,1.2910138674458853,-0.003725091,0.10506044507026659,2
makeup,Conscientiousness,Makes plans and follows through with them,0.000254128,0.32014167665690424,1.285544697882483,-1.98E-05,0.0005281,2
makeup,Openness,"Is ingenious, a deep thinker",-0.004473631,0.3298090425017218,-1.240554637,-0.009471506,0.000524243,2
jewelry,Extraversion,tends to be quiet,-0.00020227,0.3457532535773931,-1.17136171,-0.00044159,3.705131821334342e-05,2
jewelry,Agreeableness,is helpful and unselfish with others,0.001274746,0.34890998222333225,1.158340564774532,-0.00025046,0.002799952,2
jewelry,Extraversion,is reserved,0.000627313,0.35069677872699284,1.1510636003337225,-0.000127998,0.001382624,2
hair,Neuroticism,"Is emotionally stable, not easily upset",0.020957436,0.36570321007408113,1.0924649970257818,-0.005629708,0.047544581,2
jewelry,Agreeableness,Is considerate and kind to almost everyone,0.001189132,0.36868974061299603,1.0813105341973253,-0.000334993,0.002713257,2
jewelry,Extraversion,avg,-0.003241262,0.3755866759399743,-1.056151811,-0.007494589,0.001012066,2
makeup,Extraversion,is reserved,0.001088117,0.3828896039617721,1.030384578767269,-0.000375466,0.002551699,2
jewelry,Openness,"Values artistic, aesthetic experiences",0.024673622,0.3925452222627708,0.9976090902486958,-0.009604229,0.058951472938060766,2
makeup,Extraversion,tends to be quiet,0.000136386,0.40910867864743794,0.9445291194075552,-6.37E-05,0.000336509,2
makeup,Conscientiousness,Can be somewhat careless,-0.000402423,0.4114412080989041,-0.937350762,-0.000997428,0.000192583,2
makeup,Conscientiousness,Is easily distracted,0.001650329,0.41368327706269475,0.9305162204137648,-0.000807704,0.004108361,2
jewelry,Openness,Has an active imagination,-0.000848262,0.41750269697948655,-0.919018058,-0.002127488,0.000430964,2
makeup,Openness,"Is original, comes up with new ideas",-0.008087913,0.4189217935938573,-0.914791543,-0.020341278,0.004165453,2
hair,Openness,Is inventive,-0.0006204,0.4194403888158397,-0.913253081,-0.001561903,0.000321103,2
jewelry,Extraversion,"is sometimes shy, inhibited",-0.00192954,0.41986665091465664,-0.911990957,-0.004861814,0.001002733,2
jewelry,Neuroticism,Worries a lot,-0.001081595,0.42364900927078925,-0.900886361,-0.002745527,0.000582337,2
makeup,Neuroticism,Can be tense,0.001867983,0.4255491456291123,0.8953710151174169,-0.001023436,0.004759402,2
jewelry,Neuroticism,ALL,-0.002350496,0.4292689888194193,-0.203099389,-0.00802133,0.003320338,16
hair,Neuroticism,Remains calm in tense situations,-0.009231877,0.4474099299113315,-0.83476903,-0.024559144,0.006095391,2
hair,Agreeableness,starts quarrels with others,-0.00531781,0.45485811524309566,-0.815235381,-0.014358277,0.003722657,2
jewelry,Agreeableness,starts quarrels with others,-0.00162414,0.45898189897884106,-0.804645636,-0.004421573,0.001173294,2
hair,Extraversion,is talkative,-0.005898449,0.461012697,-0.799487831,-0.016123536,0.004326639,2
makeup,Neuroticism,"Is relaxed, handles stress well",0.005141631,0.4670330230168101,0.7844133821956826,-0.003942784,0.014226045757532117,2
hair,Conscientiousness,Tends to be disorganized,-0.000282493,0.46953178713417865,-0.778249294,-0.000785565,0.000220579,2
hair,Openness,Is curious about many different things,-0.010395702,0.47372032854036283,-0.768035274,-0.029154878,0.008363473,2
jewelry,Conscientiousness,ALL,-0.000734313,0.4738933979649107,-0.172631804,-0.002699392,0.001230766,18
hair,Neuroticism,Gets nervous easily,-0.002232655,0.4812627470284891,-0.750005492,-0.006358359,0.00189305,2
makeup,Conscientiousness,ALL,0.000321206,0.48131510048024534,0.1697027890924977,-0.000553204,0.001195616,18
hair,Agreeableness,Is sometimes rude to others,-0.000874163,0.4831508051564427,-0.74556307,-0.002499148,0.000750821,2
jewelry,Openness,"Is ingenious, a deep thinker",-0.003095258,0.4842309247049561,-0.743034128,-0.008868626,0.002678109,2
makeup,Neuroticism,Remains calm in tense situations,0.000318022,0.4926282557868278,0.7236752750359162,-0.00029103,0.000927073,2
makeup,Extraversion,ALL,0.00217221,0.4984455742526324,0.16304253269245364,-0.003982686,0.008327107,18
jewelry,Neuroticism,Gets nervous easily,-0.001452134,0.5058282813164398,-0.694276697,-0.004350914,0.001446646,2
hair,Extraversion,has an assertive personality,-0.007309916,0.5098264686530927,-0.685607991,-0.022086622,0.007466789,2
jewelry,Conscientiousness,Can be somewhat careless,-5.47E-05,0.5211295839022992,-0.661660338,-0.00016918,5.984214600175599e-05,2
hair,Extraversion,"is sometimes shy, inhibited",0.003598512,0.5232536099144433,0.6572492045383449,-0.003989604,0.011186629,2
hair,Openness,"Values artistic, aesthetic experiences",-0.022219218,0.5240387328375343,-0.6556256,-0.069188503,0.024750066399574305,2
hair,Extraversion,generates a lot of enthusiasm,0.005507253,0.5279552684542596,0.6475814037170549,-0.006279162,0.017293668463826167,2
makeup,Extraversion,is talkative,0.001247854,0.5336363790425142,0.6360725772849121,-0.001471077,0.003966785,2
makeup,Conscientiousness,Tends to be disorganized,0.000121228,0.5395416414376708,0.6243038734506912,-0.000147893,0.00039035,2
makeup,Conscientiousness,Is a reliable worker,0.000759022,0.5412219461292316,0.6209903988801343,-0.000934967,0.002453012,2
hair,Agreeableness,Can be cold and aloof,-0.003324949,0.541255307,-0.620924768,-0.01074637,0.004096472,2
hair,Agreeableness,tends to find fault with others,-0.001210653,0.5421693155829456,-0.619129001,-0.003920719,0.001499412,2
makeup,Openness,"Values artistic, aesthetic experiences",-0.034938015,0.5443919244584812,-0.614780971,-0.113700405,0.043824375,2
hair,Neuroticism,"Is depressed, blue",-0.002186325,0.5493810452596118,-0.605116208,-0.00719378,0.00282113,2
jewelry,Openness,Is curious about many different things,-0.002344205,0.5525615722938654,-0.599022443,-0.007767878,0.003079469,2
jewelry,Conscientiousness,Is a reliable worker,-0.007328473,0.5590638724336827,-0.586723114,-0.024639442,0.009982496,2
jewelry,Agreeableness,Can be cold and aloof,-0.00273758,0.5600423573454513,-0.584890362,-0.009224425,0.003749264,2
makeup,Openness,ALL,-0.003094351,0.5704087392481725,-0.13639065,-0.0135754,0.007386698,18
makeup,Extraversion,"is sometimes shy, inhibited",-0.001369208,0.5712042813097726,-0.564306513,-0.004731964,0.001993548,2
makeup,Neuroticism,Worries a lot,-0.000163433,0.5732131602773481,-0.560663291,-0.000567429,0.000240564,2
makeup,Openness,"Is sophisticated in art, music, or literature",-0.003007178,0.5766430594956353,-0.554484882,-0.01052359,0.004509233,2
jewelry,Agreeableness,ALL,-0.000287243,0.5767472338544223,-0.134132318,-0.001276561,0.000702075,18
hair,Openness,"Is original, comes up with new ideas",-0.02228646,0.5774309731342702,-0.553072963,-0.078133445,0.033560525,2
makeup,Agreeableness,Is considerate and kind to almost everyone,0.001934693,0.5785747695752144,0.5510281674594254,-0.002931388,0.006800774,2
jewelry,Neuroticism,"Is relaxed, handles stress well",0.002292415,0.587306202,0.5356045063077942,-0.003639434,0.008224265,2
makeup,Openness,Prefers work that is routine,0.022377040237188298,0.5900923879706261,0.5307503404495851,-0.036055321,0.080809401,2
hair,Conscientiousness,Is easily distracted,0.00138317,0.5932835405338149,0.5252296555347243,-0.002266616,0.005032956,2
makeup,Extraversion,is full of energy,-0.000620443,0.6018451149208801,-0.510618503,-0.002304459,0.001063574,2
hair,Conscientiousness,ALL,0.000807159,0.6031130919932062,0.12487116158393059,-0.002179027,0.003793346,18
hair,Extraversion,is reserved,0.000992879,0.6044157513859573,0.5062869404043467,-0.001725066,0.003710824,2
makeup,Openness,Is curious about many different things,0.004266393,0.6116825047584322,0.4941762662994505,-0.00769881,0.016231596767902375,2
hair,Extraversion,"is outgoing, sociable",0.012300107628107071,0.6137333272613369,0.49079341115375036,-0.022433609,0.047033824622631074,2
hair,Conscientiousness,Perseveres until the task is finished,0.000474215,0.6153280496012238,0.4881733392019918,-0.000872086,0.001820515,2
hair,Conscientiousness,Does a thorough job,-0.001100034,0.6160271726932269,-0.487027562,-0.004230388,0.002030321,2
